userId,movieId,rating,timestamp
1,100,2,1486496906
1,98,1,1486496906
1,101,3,1486496906
1,102,3,1486496906
2,101,3,1486496906
2,99,0,1486496906
2,97,4,1486496906
2,100,2,1486496906
3,98,4,1486496906
3,103,4,1486496906
3,105,0,1486496906
3,102,5,1486496906
3,97,1,1486496906
3,99,0,1486496906
4,102,2,1486496906
4,103,3,1486496906
4,101,5,1486496906
4,99,2,1486496906
4,97,0,1486496906
5,98,1,1486496906
5,97,4,1486496906
6,101,4,1486496906
6,102,5,1486496906
7,99,1,1486496906
7,97,1,1486496906
7,101,0,1486496906
8,102,5,1486496906
8,104,3,1486496906
8,103,4,1486496906
8,98,1,1486496906
8,97,4,1486496906
8,99,1,1486496906
9,97,1,1486496906
9,98,2,1486496906
9,99,2,1486496906
10,98,5,1486496906
10,97,4,1486496906
11,97,3,1486496906
11,98,3,1486496906
11,99,5,1486496906
12,100,5,1486496906
12,101,5,1486496906
12,108,4,1486496906
12,98,4,1486496906
12,106,3,1486496906
12,105,4,1486496906
12,107,0,1486496906
12,102,1,1486496906
13,108,4,1486496906
13,100,4,1486496906
13,105,3,1486496906
13,102,1,1486496906
13,107,2,1486496906
13,98,5,1486496906
13,99,0,1486496906
13,103,5,1486496906
13,106,5,1486496906
13,101,5,1486496906
14,97,5,1486496906
15,97,2,1486496906
15,99,4,1486496906
15,101,4,1486496906
16,98,2,1486496906
16,101,4,1486496906
16,100,3,1486496906
16,99,5,1486496906
17,97,0,1486496906
17,99,0,1486496906
18,98,1,1486496906
18,99,5,1486496906
18,97,5,1486496906
19,102,5,1486496906
19,97,1,1486496906
19,98,5,1486496906
